ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_85448	 62-year-old sister of patient from Figure 2, found to have moderate calcifications and started on statin and aspirin therapy, in addition to lifestyle modification counseling.
ROCO_85450	 Angles obtained from temporomandibular joint tomogram radiograph
ROCO_85453	 Pericardial fat volume, antero-posterior external view of its tridimensional reconstruction.
ROCO_85454	 3D reconstruction of spinal cord fiber tracts in colored FA maps
ROCO_85455	 MRI showing FPL rupture (white arrow) and close proximity of the flexor tendon to the volar plate (MRI performed before FDP to index finger rupture)
ROCO_85456	  Three-dimensional reconstruction of computed tomographic images showing the trifurcation with an ectopic right lower lobe bronchus with a bronchomalacic portion (red arrow). There was also a dilated bronchus (blue arrow) distal to an atretic apicoposterior upper lobe bronchus.
ROCO_85457	 In-vivo example of flow mapping using a scanned photoacoustic microscope. Adapted with permission from [61]. Copyright (2012) by Sage Publications.
ROCO_85459	 D-test showing a blunted zone of inhibition around the clindamycin disc adjacent to the erythromycin disc
ROCO_85461	 Alexander Haliday. Reproduced with the kind permission of the owner, currently on loan to the National Portrait Gallery, London.
ROCO_85462	 Timing of tail pigmentation. Differences in timing of tail pigmentation in A. australis and the A. australis x A. Anguilla hybrid: a) hybrid species at ~50 hpf; b) A. australis at 6 dpf; c) A. anguilla at 60 hpf. (Scale bar in a,c= 0.5 mm, in b= 1 mm; arrows indicate pigmentation of the tail).
ROCO_85463	 Measurement instrument used for Surface Plasmon Resonance operating in flow mode.
ROCO_85464	 Image preview after levels adjustment performed.
ROCO_85465	 Postoperative series of upper gastrointestinal tract (Gastrographin swallow) without a stricture 21 months after the initial operation.
ROCO_85466	 Images of lung and liver on T2-weighted magnetic resonance imaging. (a) Non-severe respiratory disorder (SRD) case at the 32nd week of gestation, lung-to-liver signal intensity ratio (LLSIR) = 2.241. (b) SRD case at the 32nd week of gestation, LLSIR = 1.418
ROCO_85467	 Submental view showing cystic lesion on left submandibular region
ROCO_85468	 Pathline visualization of cardiac blood flow. Pathlines are traced from planes located at the mitral valve (red-yellow) and the tricuspid valve (blue-turquoise) at early diastolic ventricular inflow. A separately acquired balanced steady-state free precession three-chamber image provides anatomical orientation. See also additional file 3.
ROCO_85469	 Cone beam computed tomography image showing decreased vertical height of the right side mandible
ROCO_85471	 Sample image at the line rate of 15.5 k lines/s.
ROCO_85472	 Force of 19 kg/mm2 was applied over the crown of premolars and first molar
ROCO_85474	 Schematic picture of “Sun wind” consisting of plasma fluxes erupted from the Sun’s surface and their interaction with Earth’s magnetic field.
ROCO_85475	 MRI reveals a quail embryo as it develops in its eggshell.FRASER
ROCO_85478	 At 6 weeks after the operation, the patient had full range of movement of his right thumb.
ROCO_85479	 ProMIS augmented reality simulator: “Suturing” task.
ROCO_85480	 Ongoing conflicts around the world.Dark red: Major wars, 1,000+ deaths per year. Orange: Minor skirmishes and conflicts, fewer than 1,000 deaths per year.
ROCO_85481	 Fundus picture of the right eye showing resolution of hemorrhage after treatment
ROCO_85482	 PCR Results of the HBV S Region With a 416 bp PCR ProductL: 100 bp DNA ladder, NC: negative control, PC: positive control, 1 to 17: patient’s samples.
ROCO_85483	 Measurement of pelvis height
ROCO_85484	 The hypervascularised synovium can be identified and removed under endoscopic monitoring. The procedures were precise and the risk of skin damage can be minimised
ROCO_85486	 Midline shift and pneumocephalus (Case 2).
ROCO_85488	 Serial radiographs. a Pre-treatment radiograph of a female patient in the cBMA Group with a bimalleolar fracture (yellow arrow). B Fluoroscopy image of olive wire stabilization of the fracture. c Post-treatment radiographs of same female patient at 16 weeks post-procedure. Fracture is healed (yellow arrow) (color figure online)
ROCO_85489	 Mouse in head-holder under 2-photon microscope.
ROCO_85491	 Photograph of the three-dimensional skull model showing the two different bone cutting lines of fronto-orbito-zygomatic (FOZ) bar formation. Broken line: Bone cutting line for standard FOZ bar sectioning into the superior orbital fissure (SOF) and inferior orbital fissure (IOF). Solid line: Bone cutting line of the FOZ bar using the superior orbital guide burr hole and lateral orbital guide burr hole without sectioning the SOF and IOF. Arrowhead indicates the infratemporal crest. ME: Malar eminence
ROCO_85492	 Philadelphia Neurosurgeon Charles Harrison Frazier.Frazier worked with neuropathologist and neurologist William Gibson Spiller on several neurosurgical procedures for athetosis, including posterior rhizotomy and nerve “transplantation” (i.e., neurotomy and nerve-to-nerve anastomosis).64, 72, 73, 76, 77 Etching by Erwin F. Faber. Courtesy of the U.S. National Library of Medicine.
ROCO_85493	 Detailed photograph of the electronics control system: the USB interface (1), relay board (2), and 24 VDC power supply (3).
ROCO_85496	 The 3D microwave tomographic breast cancer imaging system of Dartmouth College [19].
ROCO_85497	 Slit-lamp biomicroscopy on postoperative day 11. Note the punch-out epithelial defect (1.5 × 1.5 mm) with a border of hazy epithelium and stromal edema on the pre-existing corneal opacity, consistent with clinical stage 2 neurotrophic keratitis.
ROCO_85498	 Good glow on retroillumination indicating minimal effect on light entry by the opacities. This also is confirmed by the unaided visual acuity of 6/9
ROCO_85499	 Dark red-colored blood in both arterial and venous line during cardiopulmonary bypass
ROCO_85500	 The Xujiayao 11 parietal bones. Interior view (A).CT sagittal section image showing the thickness of the bone (B). CT coronal section images (C, D, E) showing the large Pacchionion depression (a), the two small granular foveolae (b, c) and the wide venous sulcus (d) in the bone. Anterior is above.
ROCO_85501	 Final aspect of the surgery.
ROCO_85502	 Femoral endarterectomy and endovascular treatment of a lesion in the SFA. (A) Preoperative CTA showing tight stenosis on the left CFA and SFA. (B) Image of the inserted introducer sheath for endovascular treatment of a lesion in the SFA. CTA, computed tomography-angiography; SFA, superficical femoral artery; CFA, common femerol artery.
ROCO_85503	 Arthroscopic view showing inserting the bioabsorbable suture anchor preloaded with nonabsorbable suture through the anterior-inferior portal
ROCO_85504	 The external genital field maps to the lateralmost mesoderm from the level of the posterior hindlimb bud to the anterior tail bud.Schematic diagram at top shows the distribution of the external genital progenitor cells (purple) in the chick embryo, dorsal view. The genital tubercle arises from cells situated in zone 2 (posterior hindlimb bud level) and the anterior region of zone 3 (anterior tail bud level). Table shows the results of DiI and DiA injections in each of the 4 zones and their contribution to the genital tubercle (n = 46). Ninety percent of the injections made in zone 2 labeled cells that contribute to the external genitalia. Fifty percent of the injections made in zone 3 labeled cells that contribute to the external genitalia. By contrast, cells labeled in zones 1 and 4 never contributed to the genital tubercle.
ROCO_85505	 Patient at initial presentation showing severe endophthalmitis, secondary glaucoma and exposure keratitis of the left eye
ROCO_85506	 Anvils and sample placement for simultaneous mechanical and electrical tests. Sections of the carbon fiber based material were cut to the same diameter than the anvils, placed inside a Plexiglas cavity to avoid changes in cross sectional area during measurements.
ROCO_85507	 The two free suture limbs used to produce suture bridges over the tendon are cut.
ROCO_85508	 T1w axial images showing bulky vastus lateralis muscle (straight arrow). Note is also made of double bellly of vastus lateralis
ROCO_85511	 Palatal view of the three-dimensional FE model
ROCO_85513	 The posterior aspect of the closure of recurrent tracheoes
ROCO_85515	 Case No. 669. A case of ugly knock-knee and tibial torsion with a paralytic club-foot.
ROCO_85516	 Proposed system software architecture.
ROCO_85517	 Schematic of temperature measurement inside an IC engine [86].
ROCO_85518	 54-year-old male with subclavian artery dissection. CT angiography. A and B are sequential axial slices that demonstrate a dissection of the subclavian artery (S) at the mid portion, which involves the origin of the vertebral artery (V). C and D are sequential coronal slices; note the normal enhancement of the true lumen (TL), and nonfilling of the false lumen (FL). On B, note the curviilinear hyperdensity in the anterior aspect of the subclavian artery, representing contrast undermining the intimal flap.
ROCO_85519	 Brow height measurements. Brow height was measured from a horizontal line through the centre of the pupil to the top of the eyebrow at four set points: Medial limbus (ML), middle of the pupil (MP), lateral limbus (LL), and the lateral canthus (LC). Pupil resized and standardised at 11 mm
ROCO_85521	 XTEM image of a 30 nm diameter carbon nanotube embedded in the SiN matrix. The image is taken in an area near the bottom electrode.
ROCO_85522	 Course of the vertical and horizontal trajectories of the midface
ROCO_85523	 CBCT image shows coronal view of an erosive lesion on condylar head.
ROCO_85524	 Single-GLM, violation hypothesis (i) contrast: main effect of movements deviating from cue vs. movements accordig to cue; group averaged activations are shown (at z > 3.09) on an axial slice (z = 10) of an individual brain, normalized and aligned to the Talairach stereotactic space. Refer to Table 1 for activation coordinates.
ROCO_85526	 Intra-operative photograph showing the button placed correctly.
ROCO_85527	 Sample image with 10-bit resolution.
ROCO_85528	 Contents of the Quinton insertion kit: #11 scalpel, 10-cc syringe, 18-gauge introducer needle and 10-cc syringe, J/straight guidewire, 16-French Pull-Apart introducer, Swan neck curl cath, double-cuffed PD catheter, beta-cap adapter, cap, clamp, and instructions
ROCO_85529	 Upper endoscopy showing duodenal mucosa with diffuse cobblestoning and scalloping.
ROCO_85530	 Confluent superficial punctate keratopathy in the eye of a diabetic patient.
ROCO_85531	 Semiautomatic segmentation of the surface area of test specimen.
ROCO_85532	 MDCT urography was performed using a 4-MDCT scanner. We injected 100 mL of iohexol through a peripheral venous catheter at a rate 3.0 mL/s. A delayed scan was obtained at 8 to 10 minutes postinjection to evaluate for urinary tract.
ROCO_85533	 S-shaped nasal septal deviation in the superoinferior dimension. Note: reverse S-shaped nasal septal deviation is the mirror image.
ROCO_85535	 A cross-sectional cone-beam computed tomography image at the level of the anterior mandibular region of a 36-year-old female, illustrating the method of measuring the distance between the inferior lingual foramen and the alveolar crest as considered by this study. One horizontal/tangent line (in red) to the alveolar crest was traced; measurement in millimeters was made by drawing a vertical line (in yellow) to this horizontal line.
ROCO_85536	 Endoscopic view of fistula.
ROCO_85537	 Reflected LHCP Signal to Noise Ratio for a 36-s transect acquired on the 22 June 2015. PRN23, Elevation angle 78°. The aircraft altitude is ~2000 m AGL, and the measurement temporal resolution (incoherent averaging time) is 240 ms.
ROCO_85538	 Horizontal split of subscapularis muscle.
ROCO_85540	 (A) Radiological findings. Preoperative coronal T1-weighted magnetic resonance imaging (MRI) showing a 1.0 × 1.2 × 1.2-cm intraconal mass medial to the lateral rectus muscle. The lesion is homogeneously hypointense on T1-weighted imaging (T1WI). (B) Preoperative axial T2-weighted MRI shows smooth contours and the oval shape of the hyperintense lesion. (C) Preoperative sagittal gadolinium-enhanced T1WI shows central enhancement in the lesion.
ROCO_85541	 Illustration showing left thoracotomy and exposure of the heart for TMR.Notes: The handpiece and 1 mm transmural channels in the myocardium are shown. The channels are created one per square centimeter, beginning inferiorly and moving superiorly to the anterior section of the heart. Total channel number depends on size and ischemic territory.Abbreviation: TMR, transmyocardial revascularization.
ROCO_85543	 Endoscopic image of a patient in group R showing a depressed lesion on the posterior wall of the lower gastric body (yellow arrow).
ROCO_85544	 After exchanging a 5-mm port for an 11-mm, the mesh is inserted.
ROCO_85546	 Laparoscopic reduction with gauze sponge stick was effective.
ROCO_85547	 Balloon-occluded retrograde transvenous obliteration was performed successfully for jejunal varices.
ROCO_85549	 Roth's spot on the retina of the left eye.
ROCO_85550	 Left Hand Arteriogram
ROCO_85551	  The Dermis Plus Polymer gel pads. These were cut into strips and placed under the standard width bra strap design to create the gel strap design. Each gel pad was cut into four equal 10 cm × 2.5 cm strips, which were positioned end to end and then placed under the standard width bra straps, so that the gel material was flush with the bra strap and in direct contact with the participant’s skin.
ROCO_85552	 3D-reconstruction of the head structures of a female Philanthus barbiger. The upper reservoir of the PPG (orange) is located in front of the brain (light grey) and extends laterally towards the compound eyes (grey), the sac-like lower reservoir of the gland (red) originates ventrally from the pharynx (black). The small MG reservoirs (blue) are located laterally on both sides of the head capsule, opening at the mandibular base. Abbreviations: ant, antenna; br, brain; ce, compound eye; lo, lower part of PPG; md, mandibles; mg, mandibular gland reservoir; oc, ocelli; ph, pharynx; up, upper part of PPG. Scale bar = 0.5 mm
ROCO_85554	 Images aligned at the centre of the slide.
ROCO_85555	 HSV composition and entry. Electron micrograph of negatively stained HSV particle with indications of major structural elements. Important mediators of adsorption to cells (1), receptor binding (2) and fusion of membranes (3) during the process of infection are drawn stylistically.
ROCO_85556	 Effect of Fis on the motility of S. Typhi GIFU10007.
ROCO_85557	 (31, 13): The only allowed configuration for n = 3.
ROCO_85558	 Overall percentage of surgical indications for group 2 – AO/OTA 15-B1 fracture with deviation, by region of Brazil. Representative radiograph of the group.
ROCO_85559	 Arthroscopy of the hip showing florid synovitis. Biopsies were taken.
ROCO_85560	 A parasagittal section of the star-nosed mole brain showing the relative size and location of the trigeminal nuclei, cranial nerve 5 (V) and the trigeminal ganglion (Vg).
ROCO_85562	 The catheter advancer system. The catheter runs through this simple mechanical cogwheel system and advances or retracts depending on the direction of movement of the cogwheel. An adapter connects the catheter advancer to the sheath to prevent prolapse of the catheter between the two.
ROCO_85563	 Quasar respiratory phantom in upright position.
ROCO_85564	 The marginal gap under light microscope
ROCO_85565	 Megaselia haraldlundi female, left lobe at rear of abdominal sternum 8.
ROCO_85566	 Ex vivo image of tumor and organs from tumor-bearing mice with systemic injection of anti-Sp17-ICG-Der-02, 1 day post-injection. The fluorescent intensity from high to low is liver(a), kidney(d), tumor(c), spleen(b), lung(e) and colon(f).
ROCO_85568	 A child performing the interaction adaptation level.
ROCO_85569	 Dissected view of the mass
ROCO_85571	 Technique of ostial dilatation. Line diagram (A) shows the technique of catheterizing and crossing of the stenotic ostium. An appropriately shaped diagnostic catheter (arrow) has been passed through a guiding catheter (arrowhead). A plain fluoroscopic image (B) shows a guide wire (arrow) being passed through the diagnostic catheter (arrowhead) which in turn has been passed through a guiding catheter (curved arrow). A subsequent image (C) shows a balloon (arrow) being used to dilate the ostium, after it has been exchanged for the diagnostic catheter
ROCO_85572	 (A) The entry point was defined by the line passing through the greater trochanter along the long axis of the bone at the level of lesser trochanter. A cylindrical cancellous bone defect, 4.0 cm long at an angle of 45° to the longitudinal axis of the femur, was then made with a 5-mm-diameter burr, reaching the dense cancellous bone in the femoral head. (B) The bone defect under X-ray.
ROCO_85573	 ESBL detection showing synergy towards cefepime and aztreonam antibiotics disk
ROCO_85574	 Single optical projection of isolated heart with tissue autofluorescence shown in greyscale and filtered DiI emissions (therapeutic cells) in red. The dashed circle outlines the initial engraftment area, indicating a loss of cells over 14 days.
ROCO_85575	 Monod in his new Department, around 1958.
ROCO_85576	 Signed color map comparing KRN-M –SD shell to CHI-M shell.
ROCO_85577	 Exemplary three-dimensional visualization of an IAC microgap map (coloured) superimposed on the CT scan of the dental implant, pointing out the orientation of the latter. Here the implant is a NobelActive (Nobel Biocare, Switzerland) under 333 N cyclic load. The IAC map is calculated according to Zabler et al. (2012 ▸); the look-up table is comparable with Fig. 6 ▸.
ROCO_85578	 Mesh fixation with a Z-suture on the ligamentum longitudinale.
ROCO_85579	 Hyperpigmentation of the skin.
ROCO_85580	 Legend 1: Tidal ventilation in each individual subject
ROCO_85581	 Fracture of the external tibial plateau with meniscal desinsertion - arthroscopic view.
ROCO_85582	 Head structure of Melanerpes Aurifrons Golden-fronted Woodpecker.The photo is downloaded from (http://digimorph.org/specimens/Melanerpes_aurifrons/).
ROCO_85584	 Histopathological image showing fibrovascular fronds lined by cuboidal to low columnar cells with extreme area of calcification and focal areas of chondroid and osseous metaplasia in the stroma.
ROCO_85585	 Volume rendered image depicts the relation of the aberrant bronchus (thick arrow) to the right main bronchus (arrow)
ROCO_85586	 Growth of B mackinnonii on Remel Inhibitory Mold Agar incubated at 28°C for 10 days.
ROCO_85587	 cf. Lobata morphospecies 3 swimming above the seafloor. Scale bar is 10 cm. Image attribution: Woods Hole Oceanographic Institution.
ROCO_85588	 (a) An example of Bull's eye segments of the patient with S/L ratio >1 in myocardial perfusion scintigraphy. The values obtained from echocardiography were as follows: IVSd = 13 mm, LVPWd = 12 mm. (b) An example of Bull's eye segments of patient with S/L ratio <1 in myocardial perfusion scintigraphy. The values obtained from echocardiography were as follows: IVSd = 10 mm, LVPWd = 9 mm
ROCO_85589	 Right eye follow-up clinical photo, 6 months after starting immunosuppressive therapy
ROCO_85592	 Schematic illustration of the crossed-doubled patellar tendon
ROCO_85595	 CAC score in a 51-year-old White female. A: Calcified plaque in the anterior descending artery. CAC score = 36 (Agatston method), consistent with discrete coronary calcification, indicating low cardiovascular risk. B: However, if the CAC score adjusted for age, gender, and ethnicity is used, according to the MESA, the score should be considered as being accentuated, indicating marked cardiovascular risk, because it is above the 90th percentile for this group.
ROCO_85596	 The three GBM layers identified by MRI analysis. Through radiological imaging we identified three layers in the GBM mass, classified as core, intermediate layer, and peripheral/hyper-vascularized tumor area. The intermediate area has been considered as the transition area in between the inner core and the peripheral layer (contrast enhancing ring). The surgical procedure was monitored by intraoperative imaging (neuronavigational setting). The neurosurgical resection of the peripheral regions had been done along the tumor/normal brain interface with the effort to avoid normal cells to be included in the specimen.
ROCO_85598	 T2w axial images showing increased signal intensity involving both bellies of vastus lateralis muscle s/o oedema.(straight arrow)
ROCO_85600	 Image showing the intraoperative findings of the patient's right eye. Remarkable retinal folds due to the proliferative fibrous membranes can be seen in the macular region.
ROCO_85601	 Day 30 post-presentation of case 1. The necrotic tissue has completely sloughed on its own, revealing significant wound contraction and presence of granulation tissue
ROCO_85602	 Alignment of the TCP with the fixed point.
ROCO_85603	 Laparoscopic view of the right internal ring with clips visible underneath the peritoneum.
ROCO_85604	 Enclavation of the intraocular lens in front of the iris through the gonioscopy three-mirror technique
ROCO_85605	 Ribbon-sprue design
ROCO_85606	 Boot with centrolateral abrasion
ROCO_85607	 The pancreatic duct lays on the muscle layer of the cystic duct (red arrow) and the pancreatic lobules are grouped on the subserosa (black arrow) (H&E, ×12.5).
ROCO_85610	 Final results. The confidence score for left curb is 36.6604, and the right is 12.7776.
ROCO_85611	 CT image of Donor liver showing three ostial openings of the hepatic veins.
ROCO_85612	 stereolithographic model and prebent reconstruction plate with adequate extension beyond area of projected resection.
ROCO_85613	 ACL femoral attachment area of the right knee shown by 3-D CT. The attachment area is identified by three landmarks: resident’s ridge, upper cartilage margin, and posterior cartilage margin
ROCO_85614	 Safe injection sites now. Graphic by Flux Design.
ROCO_85615	 Transverse T1-weighted magnetic resonance image of the cranial cavity taken at the level of the temporomandibular joints. A grid pattern has been applied. Volume measurement is achieved by counting the number of counting points superimposed on the structure to be measured. Counting points are located at the upper right corner of each of the crosses in the grid (i.e., for each cross, adjacent to the intersection of the two cross lines, at the pixel that is immediately right of the vertical line and immediately above the horizontal line of the cross). The counting process is a series of yes:no questions, most of which are readily answered.
ROCO_85616	 Close-up of area of rotation in Fig. 2.The two long lines, each of length h, connect the middle of the zygapophyseal facets to the anteriormost point of the condyle of the posterior vertebra and the cotyle of the anterior one. The short line of length t is projected at a right angle to the left line, and more or less connects the points on the condyle and cotyle. The angle between the two long lines is θ.
ROCO_85617	 Primary sources of reactive halogen species or their precursor reservoir species overlain on a MODIS image of Earth. Background image produced by the MODIS Land Group, NASA Goddard Space Flight Center, Visible Earth Project, NASA.
ROCO_85619	 Illustration of the roughness zones used in the simulation
ROCO_85621	 The trigone after removal of the tumor. The frontal horn is clearly seen
ROCO_85623	 A slit is made at the base of the superior tail for malleus handle fishing
ROCO_85624	 Telangiectatic lesion in the Little's area
ROCO_85625	 Stomach closure.
ROCO_85626	 An aortogram showing a ductus-occluding device deployed in the ruptured right coronary sinus aneurysm. Inset: outline diagram of aortogram. RCC, right coronary cusp.
ROCO_85627	 Location of volume of interest in distal femoral metaphysis for micro-CT analysis of trabecular bone.
ROCO_85629	 Culture in Sabouraud-agar medium with colonies of wrinkled aspect, shiny, humid and black
ROCO_85630	 Sling exercise training.
ROCO_85631	 Both sides of the artificial canals were evaluated at three points
ROCO_85632	 Intraoperative finding: Large hepatic cyst with a broad pedicle.
ROCO_85633	 Female pharyngo-intestine junction
ROCO_85635	 Gonioscopic view of the position of the AG Valve tube into the anterior chamber: Tube is well placed through the trabecular meshwork
ROCO_85636	 Postoperative Descemet’s membrane wrinkles.
ROCO_85638	 Port position: (A) 10 mm port for camera. (B) Right hand working port (5 mm). (C) Left hand working port (5 mm). (D) Gas tube for insufflation of CO2°
ROCO_85639	 Type VI: Complete (or near complete) LT tear, disconnection of LT from the femoral head or acetabulum.
ROCO_85641	 Coronal section illustrating delineation of iliac (yellow), lumbosacral (green), and lower pelvic (blue) bone marrow
ROCO_85642	 Case RF. Early indication of custom-molded nasal interface, assigning several devices in order to obtain the most efficient long-term tolerance.
ROCO_85643	 Proximal and distal markers, retained angioplasty balloon.
ROCO_85645	 An upper gastrointestinal examination with a fiberscope revealing a giant ulcer and a prominent crater. A ligature of the previous left hemihepatectomy at the inferior wall of the bulbs.
ROCO_85646	 Computed tomography reconstructed image of the lesion
ROCO_85649	 Polyflex stent with Triclip clip fixation in patient #2.
ROCO_85650	 The thinker by Auguste Rodin. Vast amount of knowledge needs integration
ROCO_85651	 Anti-bacteria evaluation against S. aureus: a dressings (no adding); b dressings loaded with Ag-NPs and VA [61]
ROCO_85652	 Bolus injection with calcium hydroxylapatite and lidocaine: A 54-year-old, treatment-naïve, female patient (a) before treatment, (b) after injection, in the central part of the dorsum of the hand and (c) after sitting on the hand for 10 min
ROCO_85654	 Transluminal flexible endoscopic repair of the bladder laceration with Endoclips. The suprapubic needle to be used for leak test is seen in the background.
ROCO_85655	 Engraving of Giambattista Morgagni (1682-1771) by G. SimoncelliSource: Burgess R. Portraits of doctors and scientists in the Wellcome Institute. [Internet]. 1973 [cited 2015 October 6]. Available from: https://commons.wikimedia.org/wiki/File:Giovanni_Battista_Morgagni_(1682_-_1771),_Italian_anatomist_Wellcome_V0004121.jpg?uselang=en-gb
ROCO_85657	 Neuropathic foot ulceration secondary to excessive pressure (from foot deformity) in combination with the repetitive stress from daily ambulation.
ROCO_85658	 Iris code from an iris-scan. (Adapted from [3] (© 1990 IEEE))
ROCO_85659	 Smelling through the main olfactory system. (1) Airborne chemicals enter the nasal cavity when an individual is inhaling or actively sniffing. (2) The odorants reach the olfactory epithelium, which hosts millions of nerve cells. Each nerve cell expresses only one type of olfactory receptor (OR) and projects to the MOB, the first processing unit of the main olfactory system. (3) Odorants bind to only a few ORs and evoke action potentials that are carried to the MOB. (4) The signal from the one or more odorants are processed in the MOB, then passed to the olfactory cortex, the limbic system, and the rest of the brain.7–9 Figure adapted from an original by Patrick J. Lynch, medical illustrator; C. Carl Jaffe, MD, cardiologist; CC 2.5.
ROCO_85660	 A ×30 magnification showing dye penetration covering the full length of gingival floor in chlorhexidine group and upto 1/3rd in normal saline group
ROCO_85662	 Self-assembly of the α-CD-co-Azo-gels.The α-CD-co-Azo-gel was synthesized by copolymerization of acrylamide (x), acrylamido-α-CD (y1), Azo-acrylamide (y2), and bis-acrylamide (z) with a mol% x/y1/y2/z of 81/4/2/13 using AIBN in DMSO at 60 °C. The solvent was replaced with water, and the gel was cut into 5-mm sized pieces using knife. Pieces of the α-CD-co-Azo-gel were shaken in water.
ROCO_85663	 Port location for performing SEPS. The first is placed 3 cms from the medial border of the tibia. The second is placed 5-10 cms from the first at approximately the same level.
ROCO_85664	 The excised cyst with endocysts.
ROCO_85665	 Water vs. Sand experiment.Birds were given stones and could choose to drop them into the water-filled (functional) or sand-filled (non-functional) tube. Photo credit: Brigit Harvey.
ROCO_85666	 Individual upper jaw acrylic splint with six bovine enamel slabs (BES) embedded in silicon at different sites.The BES were fixed at the front (f), in the middle (m) and at the back (b), for both the right (R) and left (L) sides of the splint. Silicon covered the downward-facing surfaces and the margins of the BES and left only their upward-facing surfaces exposed.
ROCO_85667	 Eau de StachybotrysThe mold’s toxin kills olfactory neurons.
ROCO_85669	 Preoperative on-screen templating is a method to use acetate template on digital radiographs.
ROCO_85670	 A cross-sectional cone-beam computed tomography image at the level of the anterior mandibular region of a 36-year-old female, illustrating the method of measuring the length of the lingual canals as considered by this study. In this case two lingual canals were detected and measured in millimeters.
ROCO_85671	 Slit lamp view under cobalt blue light of disciform keratitis and epithelitis after treatment with SLT.
ROCO_85672	 The present-day distribution of Electrona antarctica between 35 and 75°S as predicted by the species distribution model algorithm MaxEnt. Output is the logistic conditional probability of presence ranging from 1 (high probability of occurrence) to 0 (low probability of occurrence). The position of the main oceanographic fronts in the Southern Ocean are shown; Subtropical Front (dashed black line), Subantarctic Front (black line), Polar Front (red line), Southern Antarctic Circumpolar Current Front (black dotted line)
ROCO_85673	 Example of a malpositioned pedicle screw with significant breach of the anterolateral vertebral body wall (left), which was detected intraoperatively with the CT scanner. This timely information allowed prompt repositioning of the screw to an optimal position (right) without the need for reoperation.
ROCO_85674	 Harvested amnion graft
ROCO_85675	 Conformal field. The volume is outlined on each CT slice and a three-dimensional volume is created (white). Fields are shaped with MLC leaves (blue).
ROCO_85676	  Effect of a shift of the GTV in the envelop of the PTV for case 2 and Cyberknife: The red contour indicates the position of the GTV shifted within the PTV (blue).
ROCO_85677	 Picture showing telangiectasia over bulbar conjunctivae.
ROCO_85678	 Esophageal endoscopic finding shows creamy whitish pseudo-membranes and erosions on the whole esophageal mucosa.
ROCO_85679	 EMBL/ESRF mini-κ goniometer head (MK3) following the inverse-κ design as mounted on the MD2M goniometer of the MX beamline ID14-4 at the ESRF.
ROCO_85680	 Three-dimensional computed tomography image showing an intraosseous odontogenic squamous cell carcinoma of the mandible. At the physical examination, the patient presented a bone consistency with swelling of vestibular region in the left side of the jaw
ROCO_85681	 CDMAM phantom positioning for evaluation of image quality.
ROCO_85682	 Grossly, the testis (star), cord, and grey white nodule (arrow) could be distinguished from each other.
ROCO_85684	 Lens, cornea, and anterior chamber.
ROCO_85685	 This image shows in situ wear on the rod from the Shilla screw.
ROCO_85686	 Image of edematous scarred left cornea
ROCO_85687	 A 3D reconstruction of a TM region from Figure 7. The area of TM shown in Figure 7 that encompasses the large ‘fluid space’ near the center was imaged at 0.5 µm intervals. A total of 85 z-sections were projected into a 3D-animation, with the 2PEF from the Hoechst-labeled nuclei shown in blue and the SHG from collagen in white. The animation begins with a view of the aqueous face of the TM, with rotation about the y-axis. The pattern of blue-stained nuclei indicates that TM endothelial cells are evenly distributed throughout the collagen bundles of this region.
ROCO_85688	 Cardinal points of measurement pre-operatively.
ROCO_85689	 Case 2: cortical and nuclear cataract.
ROCO_85690	 Saliva collection
ROCO_85691	 Mandibular cant in T2
ROCO_85694	 Hyperkeratotic epidermis with congested capillaries in papillary dermis with normal deep dermis and subcutaneous tissue
ROCO_85695	 Mesodermal differentiation potency of culture-expanded hMSC. Characterization of culture-expanded hMSC upon exposure to specific (A) chondrogenic, (B) osteogenic and (C) adipogenic agents, respectively. Chondrogenic, adipogenic and osteogenic differentiation potential were confirmed by means of (A) immunohistochemical staining of collagen type II fibers, (B) Von Kossa and (C) Oil Red O staining, respectively. 64 × 10 original magnification. Stainings shown are representative for at least 5 separate experiments.
ROCO_85696	 Lighted spirit lamp on a low stool very close to the gown of a scrub nurse attentive only to the operation.
ROCO_85697	 In vivo 3D CT scan of the head 1 week after placement of 5 craniotomies (exemplary scan, case 1, group 1). Two anterior craniotomies were grafted with HA; 2 posterior craniotomies were grafted with BCP (the left side is grafted in the presence of BMP-7). A control craniotomy nongrafted (left side lateral) remained unhealed at the end of the study, confirming the nature of the defect as a critical-size defect. The surface continuity of grafted area differs depending on the implant composition and in the presence of BMP-7. Cranial defects loaded with BMP-7 (left) are almost repaired. Nevertheless, apparently unrepaired surface (irregularities) in the BMP-7 group is composed of the newly mineralized bone, not assessable on CT but evident on ESEM (Fig. 4). Temporary volume changes on in vivo CT are appreciated in Figure 3 (volume-rendered CT image; iPlan CMF 3; BrainLAB, Feldkirchen, Germany).
